ImageA,ImageB,Match_Unmatch
Siamese\ATT_Data\s32\9.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s36\1.pgm,Siamese\ATT_Data\s36\4.pgm,1
Siamese\ATT_Data\s11\1.pgm,Siamese\ATT_Data\s11\6.pgm,1
Siamese\ATT_Data\s14\1.pgm,Siamese\ATT_Data\s14\8.pgm,1
Siamese\ATT_Data\s14\3.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s38\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s24\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s17\10.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s30\3.pgm,Siamese\ATT_Data\s30\6.pgm,1
Siamese\ATT_Data\s33\3.pgm,Siamese\ATT_Data\s33\10.pgm,1
Siamese\ATT_Data\s15\10.pgm,Siamese\ATT_Data\s15\4.pgm,1
Siamese\ATT_Data\s10\10.pgm,Siamese\ATT_Data\s10\2.pgm,1
Siamese\ATT_Data\s29\9.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s16\2.pgm,Siamese\ATT_Data\s16\3.pgm,1
Siamese\ATT_Data\s8\6.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s28\2.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s20\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s11\9.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s39\5.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s14\10.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s28\10.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s13\1.pgm,Siamese\ATT_Data\s13\7.pgm,1
Siamese\ATT_Data\s9\7.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s30\4.pgm,Siamese\ATT_Data\s30\6.pgm,1
Siamese\ATT_Data\s35\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s30\10.pgm,Siamese\ATT_Data\s30\5.pgm,1
Siamese\ATT_Data\s3\10.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s30\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s32\2.pgm,Siamese\ATT_Data\s32\9.pgm,1
Siamese\ATT_Data\s28\10.pgm,Siamese\ATT_Data\s28\5.pgm,1
Siamese\ATT_Data\s36\10.pgm,Siamese\ATT_Data\s36\10.pgm,1
Siamese\ATT_Data\s9\3.pgm,Siamese\ATT_Data\s9\7.pgm,1
Siamese\ATT_Data\s16\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s2\3.pgm,Siamese\ATT_Data\s2\1.pgm,1
Siamese\ATT_Data\s13\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s2\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s14\5.pgm,Siamese\ATT_Data\s14\8.pgm,1
Siamese\ATT_Data\s16\9.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s32\1.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s16\2.pgm,Siamese\ATT_Data\s16\8.pgm,1
Siamese\ATT_Data\s17\1.pgm,Siamese\ATT_Data\s17\3.pgm,1
Siamese\ATT_Data\s3\5.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s36\9.pgm,Siamese\ATT_Data\s36\6.pgm,1
Siamese\ATT_Data\s19\2.pgm,Siamese\ATT_Data\s19\6.pgm,1
Siamese\ATT_Data\s32\10.pgm,Siamese\ATT_Data\s32\10.pgm,1
Siamese\ATT_Data\s10\6.pgm,Siamese\ATT_Data\s10\1.pgm,1
Siamese\ATT_Data\s1\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s5\2.pgm,Siamese\ATT_Data\s5\7.pgm,1
Siamese\ATT_Data\s4\2.pgm,Siamese\ATT_Data\s4\3.pgm,1
Siamese\ATT_Data\s28\9.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s8\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s37\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s31\9.pgm,Siamese\ATT_Data\s31\7.pgm,1
Siamese\ATT_Data\s14\8.pgm,Siamese\ATT_Data\s14\8.pgm,1
Siamese\ATT_Data\s21\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s11\10.pgm,Siamese\ATT_Data\s11\4.pgm,1
Siamese\ATT_Data\s8\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s1\5.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s24\3.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s33\3.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s36\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s36\4.pgm,Siamese\ATT_Data\s36\4.pgm,1
Siamese\ATT_Data\s5\2.pgm,Siamese\ATT_Data\s5\1.pgm,1
